alcohol,malic_acid,total_phenols,color_intensity,hue
14.23,1.71,2.8,5.64,1.04
13.2,1.78,2.65,4.38,1.05
13.16,2.36,2.8,5.68,1.03
14.37,1.95,3.85,7.8,0.86
13.24,2.59,2.8,4.32,1.04
14.2,1.76,3.27,6.75,1.05
14.39,1.87,2.5,5.25,1.02
14.06,2.15,2.6,5.05,1.06
14.83,1.64,2.8,5.2,1.08
13.86,1.35,2.98,7.22,1.01
14.1,2.16,2.95,5.75,1.25
14.12,1.48,2.2,5.0,1.17
13.75,1.73,2.6,5.6,1.15
14.75,1.73,3.1,5.4,1.25
14.38,1.87,3.3,7.5,1.2
13.63,1.81,2.85,7.3,1.28
14.3,1.92,2.8,6.2,1.07
13.83,1.57,2.95,6.6,1.13
14.19,1.59,3.3,8.7,1.23
13.64,3.1,2.7,5.1,0.96
14.06,1.63,3.0,5.65,1.09
12.93,3.8,2.41,4.5,1.03
13.71,1.86,2.61,3.8,1.11
12.85,1.6,2.48,3.93,1.09
13.5,1.81,2.53,3.52,1.12
13.05,2.05,2.63,3.58,1.13
13.39,1.77,2.85,4.8,0.92
13.3,1.72,2.4,3.95,1.02
13.87,1.9,2.95,4.5,1.25
14.02,1.68,2.65,4.7,1.04
13.73,1.5,3.0,5.7,1.19
13.58,1.66,2.86,6.9,1.09
13.68,1.83,2.42,3.84,1.23
13.76,1.53,2.95,5.4,1.25
13.51,1.8,2.35,4.2,1.1
13.48,1.81,2.7,5.1,1.04
13.28,1.64,2.6,4.6,1.09
13.05,1.65,2.45,4.25,1.12
13.07,1.5,2.4,3.7,1.18
14.22,3.99,3.0,5.1,0.89
13.56,1.71,3.15,6.13,0.95
13.41,3.84,2.45,4.28,0.91
13.88,1.89,3.25,5.43,0.88
13.24,3.98,2.64,4.36,0.82
13.05,1.77,3.0,5.04,0.88
14.21,4.04,2.85,5.24,0.87
14.38,3.59,3.25,4.9,1.04
13.9,1.68,3.1,6.1,0.91
14.1,2.02,2.75,6.2,1.07
13.94,1.73,2.88,8.9,1.12
13.05,1.73,2.72,7.2,1.12
13.83,1.65,2.45,5.6,1.24
13.82,1.75,3.88,7.05,1.01
13.77,1.9,3.0,6.3,1.13
13.74,1.67,2.6,5.85,0.92
13.56,1.73,2.96,6.25,0.98
14.22,1.7,3.2,6.38,0.94
